Combinación;1A;1B;1D;1E;1G;1I;1K;1L
ABCEFGHL;3H;3G;3B;3C;3A;3F;3L;3E
ABCEFGHK;3H;3G;3B;3C;3A;3F;3E;3K
ABCEFGHJ;3H;3G;3B;3C;3A;3F;3E;3J
ABCEFGHI;3H;3G;3B;3C;3A;3F;3E;3I
ABCDIJKL;3I;3J;3B;3C;3A;3D;3L;3K
ABCDHJKL;3H;3J;3B;3C;3A;3D;3L;3K
ABCDHIKL;3H;3I;3B;3C;3A;3D;3L;3K
ABCDHIJL;3H;3J;3B;3C;3A;3D;3L;3I
ABCDHIJK;3H;3J;3B;3C;3A;3D;3I;3K
ABCDGJKL;3C;3J;3B;3D;3A;3G;3L;3K
ABCDGIKL;3I;3G;3B;3C;3A;3D;3L;3K
ABCDGIJL;3C;3J;3B;3D;3A;3G;3L;3I
ABCDGIJK;3C;3J;3B;3D;3A;3G;3I;3K
ABCDGHKL;3H;3G;3B;3C;3A;3D;3L;3K
ABCDGHJL;3H;3G;3B;3C;3A;3D;3L;3J
ABCDGHJK;3H;3G;3B;3C;3A;3D;3J;3K
ABCDGHIL;3H;3G;3B;3C;3A;3D;3L;3I
ABCDGHIK;3H;3G;3B;3C;3A;3D;3I;3K
ABCDGHIJ;3H;3G;3B;3C;3A;3D;3I;3J
ABCDFJKL;3C;3J;3B;3D;3A;3F;3L;3K
ABCDFIKL;3C;3I;3B;3D;3A;3F;3L;3K
ABCDFIJL;3C;3J;3B;3D;3A;3F;3L;3I
ABCDFIJK;3C;3J;3B;3D;3A;3F;3I;3K
ABCDFHKL;3H;3F;3B;3C;3A;3D;3L;3K
ABCDFHJL;3C;3J;3B;3D;3A;3F;3L;3H
ABCDFHJK;3H;3J;3B;3C;3A;3F;3D;3K
ABCDFHIL;3H;3F;3B;3C;3A;3D;3L;3I
ABCDFHIK;3H;3F;3B;3C;3A;3D;3I;3K
ABCDFHIJ;3H;3J;3B;3C;3A;3F;3D;3I
ABCDFGKL;3C;3G;3B;3D;3A;3F;3L;3K
ABCDFGJL;3C;3G;3B;3D;3A;3F;3L;3J
ABCDFGJK;3C;3G;3B;3D;3A;3F;3J;3K
ABCDFGIL;3C;3G;3B;3D;3A;3F;3L;3I
ABCDFGIK;3C;3G;3B;3D;3A;3F;3I;3K
ABCDFGIJ;3C;3G;3B;3D;3A;3F;3I;3J
ABCDFGHL;3C;3G;3B;3D;3A;3F;3L;3H
ABCDFGHK;3H;3G;3B;3C;3A;3F;3D;3K
ABCDFGHJ;3H;3G;3B;3C;3A;3F;3D;3J
ABCDFGHI;3H;3G;3B;3C;3A;3F;3D;3I
ABCDEJKL;3E;3J;3B;3C;3A;3D;3L;3K
ABCDEIKL;3E;3I;3B;3C;3A;3D;3L;3K
ABCDEIJL;3E;3J;3B;3C;3A;3D;3L;3I
ABCDEIJK;3E;3J;3B;3C;3A;3D;3I;3K
ABCDEHKL;3H;3E;3B;3C;3A;3D;3L;3K
ABCDEHJL;3H;3J;3B;3C;3A;3D;3L;3E
ABCDEHJK;3H;3J;3B;3C;3A;3D;3E;3K
ABCDEHIL;3H;3E;3B;3C;3A;3D;3L;3I
ABCDEHIK;3H;3E;3B;3C;3A;3D;3I;3K
ABCDEHIJ;3H;3J;3B;3C;3A;3D;3E;3I
ABCDEGKL;3E;3G;3B;3C;3A;3D;3L;3K
ABCDEGJL;3E;3G;3B;3C;3A;3D;3L;3J
ABCDEGJK;3E;3G;3B;3C;3A;3D;3J;3K
ABCDEGIL;3E;3G;3B;3C;3A;3D;3L;3I
ABCDEGIK;3E;3G;3B;3C;3A;3D;3I;3K
ABCDEGIJ;3E;3G;3B;3C;3A;3D;3I;3J
ABCDEGHL;3H;3G;3B;3C;3A;3D;3L;3E
ABCDEGHK;3H;3G;3B;3C;3A;3D;3E;3K
ABCDEGHJ;3H;3G;3B;3C;3A;3D;3E;3J
ABCDEGHI;3H;3G;3B;3C;3A;3D;3E;3I
ABCDEFKL;3C;3E;3B;3D;3A;3F;3L;3K
ABCDEFJL;3C;3J;3B;3D;3A;3F;3L;3E
ABCDEFJK;3C;3J;3B;3D;3A;3F;3E;3K
ABCDEFIL;3C;3E;3B;3D;3A;3F;3L;3I
ABCDEFIK;3C;3E;3B;3D;3A;3F;3I;3K
ABCDEFIJ;3C;3J;3B;3D;3A;3F;3E;3I
ABCDEFHL;3H;3F;3B;3C;3A;3D;3L;3E
ABCDEFHK;3H;3E;3B;3C;3A;3F;3D;3K
ABCDEFHJ;3H;3J;3B;3C;3A;3F;3D;3E
ABCDEFHI;3H;3E;3B;3C;3A;3F;3D;3I
ABCDEFGL;3C;3G;3B;3D;3A;3F;3L;3E
ABCDEFGK;3C;3G;3B;3D;3A;3F;3E;3K
ABCDEFGJ;3C;3G;3B;3D;3A;3F;3E;3J
ABCDEFGI;3C;3G;3B;3D;3A;3F;3E;3I
ABCDEFGH;3H;3G;3B;3C;3A;3F;3D;3E
